question_English,answer_English,question_Hindi,answer_Hindi
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommented, Year Recommended For Completion, and Project Status of the Project of the Project Barkagaon Block, Deep Boring (Solor based) at the rehabilitation site located under Barkagaon block.(Three) in barkagaon, under the jurisdiction of Barkagaon?","The construction of deep boring (solar based) at the rehabilitation site located in Uru village under the Barkagaon block.(Three other) Project Involves The Allocation of Funds for Development in Barkagaon, under the jurisdiction of Barkagaon.The proposed project aims to construction of deep boring (solar based) at the rehabilitation site located in Uru village under Barkagaon block.(Three).The recommended Amount for the Project is 2,030,950, with an anticipated completion year of 2023. Currently, the project status is reported as complete.","बड़कागांव प्रखण्ड अन्तर्गत उरूब ग्राम स्थित पुनर्वास स्थल पर डीप बोरिंग (सोलर आधारित) का निर्माण। (तीन अद्द) परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","बड़कागांव प्रखण्ड अन्तर्गत उरूब ग्राम स्थित पुनर्वास स्थल पर डीप बोरिंग (सोलर आधारित) का निर्माण। (तीन अद्द) परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य बड़कागांव प्रखण्ड अन्तर्गत उरूब ग्राम स्थित पुनर्वास स्थल पर डीप बोरिंग (सोलर आधारित) का निर्माण। (तीन अद्द) है। परियोजना के लिए सिफारिश की गई राशि 2,030,950 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated for Completion, and Project Status of the Project Sadar Block Under the Sadar Block, Rukmini Library's United In Sadar, In Sadar, In Sadar, of HAZARINEB Agh?","The upgradation of the Rukmini library under the Sadar block Project Involves The Allocation of Funds for Development in Sadar, under the jurisdiction of hazaribagh.The proposed project aims to upgrade the Rukmini library under the Sadar block.The recommended Amount for the Project is 200,000, with an anticipated completetion year of 2021. Currently, the project status is reported as complete.","सदर प्रखण्ड अन्तर्गत रूकमिनि पुस्तकालय का उन्नयन परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","सदर प्रखण्ड अन्तर्गत रूकमिनि पुस्तकालय का उन्नयन परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के सदर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य सदर प्रखण्ड अन्तर्गत रूकमिनि पुस्तकालय का उन्नयन है। परियोजना के लिए सिफारिश की गई राशि 200,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project of the Project Bada Kagaon Block Under Barkagaon Block Aon?","The upgradation of Rajendra Library under the Barakagaon block is the allocation of funds for development in barkagaon, under the jurisdiction of Barkagaon.The proposed project aims to upgradation of Rajendra Library under Barakagaon block.The recommended Amount for the Project is 682,000, with an anticipated completetion year of 2021. Currently, the project status is reported as complete.","बड़ाकागांव प्रखण्ड अन्तर्गत रजेन्द्र पुस्तकालय का उन्नयन परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","बड़ाकागांव प्रखण्ड अन्तर्गत रजेन्द्र पुस्तकालय का उन्नयन परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य बड़ाकागांव प्रखण्ड अन्तर्गत रजेन्द्र पुस्तकालय का उन्नयन है। परियोजना के लिए सिफारिश की गई राशि 682,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project 25 Community Work in 25 community toilets.In Barhi, under the jurisdiction of Barhi?","The water supply work in the 25 community toilets.Project Involves The Allocation of Funds for Development in Barhi, under the jurisdiction of Barhi.The proposed project aims to 25 community toilets water supply work.The recommended Amount for the Project is 1,727,388, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","25 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","25 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना में विकास के लिए धन का आवंटन बरही क्षेत्र के बरही में हो रहा है। प्रस्तुत परियोजना का उद्देश्य 25 सामुदायिक शौचालयों में जलापूर्ति कार्य। है। परियोजना के लिए सिफारिश की गई राशि 1,727,388 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated for Completion, and Project Status of the Project Carredari Block under the Project Carredari Block S.S. ICtion of Barkagaon?","Under the Keredari block, SS +2 High School Upgradation (2 Smart Class) Project Involves The Allocation of Funds for Development in Keredari, under the jurisdiction of Barkagaon.The proposed project aims to upgrade SS +2 High School under Keredari Block (2 Smart Class).The recommended Amount for the Project is 500,000, with an anticipated company of 2021. Currently, the project status is reported as complete.","केरेडारी प्रखण्ड अन्तर्गत एस0एस0 +2 उच्च विद्यालय का उन्नयन (2 स्मार्ट क्लास) परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","केरेडारी प्रखण्ड अन्तर्गत एस0एस0 +2 उच्च विद्यालय का उन्नयन (2 स्मार्ट क्लास) परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य केरेडारी प्रखण्ड अन्तर्गत एस0एस0 +2 उच्च विद्यालय का उन्नयन (2 स्मार्ट क्लास) है। परियोजना के लिए सिफारिश की गई राशि 500,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project of the Project Hazaribagh district.in katkamdag, under the jurisdiction of hazaribagh?","The system strengthening in 40 primary schools under the Hazaribagh district.Project involves the allocation of funds for development in katkamdag, under the jurisdiction of hazaribagh.The proposed project aims to strengthen the system in 40 primary schools under Hazaribagh district.The recommended Amount for the Project is 4,537,500, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के बोरी में हो रहा है। प्रस्तुत परियोजना का उद्देश्य हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। है। परियोजना के लिए सिफारिश की गई राशि 4,537,500 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project 25 Community Work in 25 community toilets.In Daru, under the jurisdiction of hazaribagh?","The water supply work in the 25 community toilets.Project Involves The Allocation of Funds for Development in Daru, under the jurisdiction of hazaribagh.The proposed project aims to 25 community toilets water supply work.The recommended Amount for the Project is 1,727,388, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","25 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","25 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के दारु में हो रहा है। प्रस्तुत परियोजना का उद्देश्य 25 सामुदायिक शौचालयों में जलापूर्ति कार्य। है। परियोजना के लिए सिफारिश की गई राशि 1,727,388 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project of the Project Hazaribagh district.in katkamsandi, under the jurisdiction of hazaribagh?","The system strengthening in 40 primary schools under the Hazaribagh district.Project involves the allocation of funds for development in katkamsandi, under the jurisdiction of hazaribagh.The proposed project aims to strengthen the system in 40 primary schools under Hazaribagh district.The recommended Amount for the Project is 4,537,500, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के पाउडर में हो रहा है। प्रस्तुत परियोजना का उद्देश्य हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। है। परियोजना के लिए सिफारिश की गई राशि 4,537,500 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project 25 Community Work in 25 community toilets.In Vishnugarh, under the jurisdiction of Mandu?","The water supply work in the 25 community toilets.Project involves the allocation of funds for development in vishnugarh, under the jurisdiction of mandu.The proposed project aims to 25 community toilets water supply work.The recommended Amount for the Project is 1,727,388, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","25 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","25 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के विष्णुगढ़ में हो रहा है। प्रस्तुत परियोजना का उद्देश्य 25 सामुदायिक शौचालयों में जलापूर्ति कार्य। है। परियोजना के लिए सिफारिश की गई राशि 1,727,388 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project of the Project Hazaribagh district.In Keredari, under the jurisdiction of Barkagaon?","The system strengthening in 40 primary schools under the Hazaribagh district.Project involves the allocation of funds for development in keredari, under the jurisdiction of Barkagaon.The proposed project aims to strengthen the system in 40 primary schools under Hazaribagh district.The recommended Amount for the Project is 4,537,500, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य हजारीबाग जिलान्तर्गत 40 प्राथमिक विद्यालयों में व्यवस्था सुदृढ़ीकरण। है। परियोजना के लिए सिफारिश की गई राशि 4,537,500 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project 10 Water supply in 10 community toilets.In Barkagaon, under the jurisdiction of Barkagaon?","Water supply work in the 10 community toilets.Project involves the allocation of funds for development in barkagaon, under the jurisdiction of Barkagaon.The proposed project aims to 10 water supply work in community toilets.The recommended Amount for the Project is 460,637, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","10 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","10 सामुदायिक शौचालयों में जलापूर्ति कार्य। परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य 10 सामुदायिक शौचालयों में जलापूर्ति कार्य। है। परियोजना के लिए सिफारिश की गई राशि 460,637 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
